2019-06-15 11:04:32.721 -03,"postgres","postgres",2919,"::1:55230",5d04faf0.b67,10,"idle",2019-06-15 11:04:32 -03,2/173,0,LOG,00000,"statement: SELECT DISTINCT
			max(SUBSTRING(array_dims(c.conkey) FROM  $patern$^\[.*:(.*)\]$$patern$)) as nb
		FROM pg_catalog.pg_constraint AS c
			JOIN pg_catalog.pg_class AS r ON (c.conrelid=r.oid)
			JOIN pg_catalog.pg_namespace AS ns ON (r.relnamespace=ns.oid)
		WHERE
			r.relname = 'sistemas-nti' AND ns.nspname='public'",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:32.723 -03,"postgres","postgres",2919,"::1:55230",5d04faf0.b67,11,"idle",2019-06-15 11:04:32 -03,2/174,0,LOG,00000,"statement: 
			SELECT
				c.oid AS conid, c.contype, c.conname, pg_catalog.pg_get_constraintdef(c.oid, true) AS consrc,
				ns1.nspname as p_schema, r1.relname as p_table, ns2.nspname as f_schema,
				r2.relname as f_table, f1.attname as p_field, f1.attnum AS p_attnum, f2.attname as f_field,
				f2.attnum AS f_attnum, pg_catalog.obj_description(c.oid, 'pg_constraint') AS constcomment,
				c.conrelid, c.confrelid
			FROM
				pg_catalog.pg_constraint AS c
				JOIN pg_catalog.pg_class AS r1 ON (c.conrelid=r1.oid)
				JOIN pg_catalog.pg_attribute AS f1 ON (f1.attrelid=r1.oid AND (f1.attnum=c.conkey[1]))
				JOIN pg_catalog.pg_namespace AS ns1 ON r1.relnamespace=ns1.oid
				LEFT JOIN (
					pg_catalog.pg_class AS r2 JOIN pg_catalog.pg_namespace AS ns2 ON (r2.relnamespace=ns2.oid)
				) ON (c.confrelid=r2.oid)
				LEFT JOIN pg_catalog.pg_attribute AS f2 ON
					(f2.attrelid=r2.oid AND ((c.confkey[1]=f2.attnum AND c.conkey[1]=f1.attnum)))
			WHERE
				r1.relname = 'sistemas-nti' AND ns1.nspname='public'
			ORDER BY 1",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.356 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,1,"idle",2019-06-15 11:04:33 -03,2/176,0,LOG,00000,"statement: set datestyle='ISO'",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.356 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,2,"idle",2019-06-15 11:04:33 -03,2/177,0,LOG,00000,"statement: select version()",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.356 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,3,"idle",2019-06-15 11:04:33 -03,2/178,0,LOG,00000,"statement: select oid,typname from pg_type",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.357 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,4,"idle",2019-06-15 11:04:33 -03,2/179,0,LOG,00000,"statement: SET client_encoding TO 'UTF-8'",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.357 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,5,"idle",2019-06-15 11:04:33 -03,2/180,0,LOG,00000,"statement: SET bytea_output TO escape",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.357 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,6,"idle",2019-06-15 11:04:33 -03,2/181,0,LOG,00000,"statement: SELECT current_schemas(false) AS search_path",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.358 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,7,"idle",2019-06-15 11:04:33 -03,2/182,0,LOG,00000,"statement: SET SEARCH_PATH TO ""public"",""public""",,,,,,,,,"phpPgAdmin_5.1"
2019-06-15 11:04:33.358 -03,"postgres","postgres",2920,"::1:55232",5d04faf1.b68,8,"idle",2019-06-15 11:04:33 -03,2/183,0,LOG,00000,"statement: INSERT INTO ""public"".""sistemas-nti"" (""t1"",""t2"")
					VALUES (nextval('""sistemas-nti_t1_seq""'::regclass),nextval('""sistemas-nti_t2_seq""'::regclass))",,,,,,,,,"phpPgAdmin_5.1"
